time,angle_deg,tsr,cp,cd,ct,cd_blade1,ct_blade1,cd_blade2,ct_blade2,cd_blade3,ct_blade3
15.2,1045.07501832,7,0.733227649119,0.896277029188,0.104746807017,0.300592424496,0.0354959523667,0.300362709121,0.0351950478133,0.294781713993,0.0340558068369
15.6,1074.10487994,7,0.734966273302,0.897423405953,0.1049951819,0.300619023031,0.0354419051742,0.299199180096,0.034826434515,0.297065969694,0.034726842211
16,1103.13474156,7,0.732704217793,0.896728202925,0.104672031113,0.300493368346,0.0353458139823,0.297041403736,0.0342165837581,0.298655287848,0.0351096333729
16.4,1132.16460318,7,0.727938174165,0.894157005442,0.103991167738,0.300261983437,0.0352208910133,0.293903621297,0.0335015743254,0.299454306797,0.0352687023992
16.8,1161.1944648,7,0.728331692109,0.89367841296,0.104047384587,0.299732774643,0.0350175919284,0.29361388682,0.0337335357433,0.299795710056,0.0352962569153
17.2,1190.22432642,7,0.730577373074,0.894997853369,0.104368196153,0.298660862318,0.0346726265346,0.295912624746,0.034440781953,0.299889151091,0.0352547876658
17.6,1219.25418804,7,0.728966518859,0.894687152617,0.104138074123,0.296677461843,0.0341056291676,0.297671507276,0.0348693034106,0.299803941294,0.0351631415446
18,1248.28404966,7,0.72440711083,0.892335450787,0.103486730119,0.293560592787,0.0333765859498,0.298617416895,0.0350631662328,0.299624152847,0.035046977936
18.4,1277.31391128,7,0.723922053833,0.89136864143,0.103417436262,0.292642151593,0.0334526267115,0.299042710523,0.0351088215771,0.299151437687,0.0348559879732
18.8,1306.3437729,7,0.726548577918,0.892779618505,0.103792653988,0.294836227742,0.0341707246904,0.299223925165,0.0350844928365,0.29818780205,0.0345374364613
19.2,1335.37363452,7,0.725578350013,0.892824566573,0.103654050002,0.296745627462,0.0346433555108,0.299184379287,0.0350004152656,0.29636368276,0.0340102792255
19.6,1364.40349614,7,0.721365893447,0.890765028547,0.103052270492,0.297835428364,0.034870814613,0.299035719692,0.0348887729139,0.29336381595,0.0332926829655
20,1393.43335776,7,0.719941670549,0.889323348959,0.102848810078,0.298354468084,0.0349374566155,0.298625373775,0.0347110336734,0.291814316295,0.0332003197895
20.4,1422.46321938,7,0.722867163497,0.890758379224,0.103266737642,0.298603310746,0.0349271280675,0.297770812746,0.0344194683819,0.293855679555,0.033920141193
20.8,1451.493081,7,0.722552023091,0.891161455624,0.103221717584,0.29862160611,0.0348537689375,0.29613814269,0.0339390204477,0.295873791416,0.0344289281992
21.2,1480.52294262,7,0.718758067222,0.88941825764,0.102679723889,0.298501698325,0.0347466920211,0.293279174494,0.0332406065041,0.297110114362,0.0346924253637
21.6,1509.55280424,7,0.716471230448,0.887574148627,0.102353032921,0.298166806027,0.0345859472826,0.291144969629,0.0329825966045,0.297735812077,0.034784489034
22,1538.58266586,7,0.719525732098,0.88892888636,0.1027893903,0.297403377262,0.0343170554546,0.292966316854,0.033688252138,0.298033118601,0.0347840827072
22.4,1567.61252748,7,0.719809484619,0.889639733474,0.102829926374,0.29591817799,0.0338733100195,0.295101594461,0.0342386981627,0.29809444496,0.0347179181919
22.8,1596.6423891,7,0.716512535731,0.888254343459,0.102358933676,0.293280297919,0.0332135424504,0.296436884843,0.0345273552274,0.298012211756,0.034618035998
23.2,1625.67225072,7,0.713495680209,0.886117436152,0.101927954316,0.290693857614,0.0328150084928,0.297164448904,0.0346439159878,0.297734805907,0.034469029835
23.6,1654.70211234,7,0.716539583763,0.887314905634,0.10236279768,0.29217017461,0.0334735242346,0.297518009089,0.0346555813848,0.297102757941,0.034233692061
24,1683.73197396,7,0.717348022668,0.888273831464,0.102478288953,0.294374378619,0.034057693239,0.297618557851,0.0345972869802,0.29575729889,0.0338233087334
24.4,1712.76183558,7,0.714680941273,0.887307256444,0.102097277325,0.295860426386,0.0343870139375,0.297584260901,0.0345059609056,0.293339370012,0.0332043024816
24.8,1741.7916972,7,0.710956308773,0.88489719231,0.101565186968,0.296634850365,0.0345139992448,0.297355929241,0.0343683424927,0.290383752847,0.0326828452301
25.2,1770.82155882,7,0.713730368672,0.885817740004,0.101961481239,0.297053984853,0.0345404353972,0.296793999067,0.0341490176942,0.291447425647,0.0332720281475
