// 10.24.2018 14:18
//( AOA          4.0000E+04    6.0000E+04    8.0000E+04    1.0000E+05    1.3000E+05    1.6000E+05    2.0000E+05    2.5000E+05    3.0000E+05    5.0000E+05    1.0000E+06    3.0000E+06    5.0000E+06    )
(  1.2000E+01    1.3567E+00    1.4192E+00    1.4223E+00    1.4004E+00    1.3917E+00    1.3953E+00    1.4123E+00    1.4292E+00    1.4561E+00    1.5225E+00    1.5990E+00    1.7135E+00    1.7712E+00    )
(  1.3000E+01    1.2290E+00    1.3858E+00    1.3972E+00    1.4032E+00    1.4038E+00    1.4029E+00    1.4068E+00    1.4304E+00    1.4324E+00    1.5290E+00    1.6278E+00    1.7508E+00    1.8174E+00    )
(  1.4000E+01    1.0496E+00    1.2462E+00    1.3344E+00    1.3489E+00    1.3797E+00    1.3800E+00    1.4090E+00    1.4161E+00    1.4221E+00    1.5075E+00    1.6361E+00    1.7806E+00    1.8528E+00    )
(  1.5000E+01    1.0140E+00    1.1091E+00    1.2382E+00    1.2753E+00    1.3152E+00    1.3458E+00    1.3844E+00    1.3689E+00    1.4107E+00    1.4700E+00    1.6284E+00    1.7949E+00    1.8788E+00    )
(  1.6000E+01    1.0369E+00    1.0286E+00    1.0960E+00    1.2032E+00    1.2076E+00    1.2757E+00    1.3310E+00    1.3076E+00    1.3771E+00    1.4096E+00    1.6142E+00    1.7931E+00    1.8928E+00    )
(  1.7000E+01    1.0738E+00    1.0898E+00    1.0821E+00    1.0942E+00    1.1137E+00    1.1190E+00    1.2370E+00    1.2524E+00    1.3208E+00    1.3448E+00    1.5893E+00    1.7825E+00    1.8899E+00    )
(  1.8000E+01    1.0354E+00    1.0969E+00    1.0923E+00    1.0957E+00    1.0925E+00    1.0951E+00    1.1247E+00    1.2004E+00    1.2432E+00    1.2924E+00    1.5502E+00    1.7500E+00    1.8828E+00    )
(  1.9000E+01    1.0571E+00    1.0603E+00    1.0706E+00    1.0939E+00    1.0985E+00    1.1132E+00    1.1004E+00    1.1169E+00    1.1723E+00    1.2491E+00    1.4993E+00    1.7159E+00    1.8534E+00    )
(  2.0000E+01    1.0711E+00    1.1091E+00    1.1024E+00    1.0746E+00    1.0827E+00    1.0935E+00    1.0955E+00    1.0985E+00    1.1014E+00    1.1614E+00    1.4311E+00    1.6597E+00    1.8244E+00    )
(  2.1000E+01    9.9450E-01    9.7740E-01    9.9240E-01    9.7060E-01    1.0111E+00    1.0295E+00    1.0181E+00    1.0667E+00    9.6680E-01    1.1102E+00    1.3076E+00    1.5871E+00    1.7905E+00    )
