// 10.24.2018 14:18
//( AOA          4.0000E+04    6.0000E+04    8.0000E+04    1.0000E+05    1.3000E+05    1.6000E+05    2.0000E+05    2.5000E+05    3.0000E+05    5.0000E+05    1.0000E+06    3.0000E+06    5.0000E+06    )
(  2.2000E+01    3.4500E-01    3.1450E-01    3.1430E-01    3.1800E-01    3.1390E-01    3.1320E-01    3.1160E-01    3.5990E-01    3.1660E-01    3.9160E-01    3.1870E-01    2.1170E-01    1.4760E-01    )
(  2.3000E+01    3.2060E-01    3.2820E-01    3.1880E-01    3.1970E-01    3.2210E-01    3.2040E-01    3.1880E-01    3.8670E-01    3.2580E-01    4.4760E-01    3.9670E-01    2.6550E-01    1.8080E-01    )
(  2.4000E+01    3.2700E-01    3.3130E-01    3.5020E-01    3.2520E-01    3.2590E-01    3.2700E-01    3.2600E-01    4.1350E-01    3.3500E-01    5.0360E-01    4.7470E-01    3.1930E-01    2.3650E-01    )
(  2.5000E+01    3.4430E-01    3.2650E-01    3.8160E-01    3.3040E-01    3.2970E-01    3.3360E-01    3.3320E-01    4.4030E-01    3.4420E-01    5.5960E-01    5.5270E-01    3.7310E-01    3.3230E-01    )
(  2.6000E+01    3.3830E-01    3.2170E-01    4.1300E-01    3.3560E-01    3.3350E-01    3.4020E-01    3.4040E-01    4.6710E-01    3.5340E-01    6.1560E-01    6.3070E-01    4.2690E-01    4.2810E-01    )
(  2.7000E+01    3.4480E-01    3.1690E-01    4.4440E-01    3.4080E-01    3.3730E-01    3.4680E-01    3.4760E-01    4.9390E-01    3.6260E-01    6.7160E-01    7.0870E-01    4.8070E-01    5.2390E-01    )
(  2.8000E+01    3.7240E-01    3.1210E-01    4.7580E-01    3.4600E-01    3.4110E-01    3.5340E-01    3.5480E-01    5.2070E-01    3.7180E-01    7.2760E-01    7.8670E-01    5.3450E-01    6.1970E-01    )
(  2.9000E+01    3.7815E-01    3.0730E-01    5.0720E-01    3.5120E-01    3.4490E-01    3.6000E-01    3.6200E-01    5.4750E-01    3.8100E-01    7.8360E-01    8.6470E-01    5.8830E-01    7.1550E-01    )
(  3.0000E+01    3.8389E-01    3.0250E-01    5.3860E-01    3.5640E-01    3.4870E-01    3.6660E-01    3.6920E-01    5.7430E-01    3.9020E-01    8.3960E-01    9.4270E-01    6.4210E-01    8.1130E-01    )
(  3.1000E+01    3.8964E-01    2.9770E-01    5.7000E-01    3.6160E-01    3.5250E-01    3.7320E-01    3.7640E-01    6.0110E-01    3.9940E-01    8.9560E-01    1.0207E+00    6.9590E-01    9.0710E-01    )
(  3.2000E+01    3.9539E-01    2.9290E-01    6.0140E-01    3.6680E-01    3.5630E-01    3.7980E-01    3.8360E-01    6.2790E-01    4.0860E-01    9.5160E-01    1.0987E+00    7.4970E-01    1.0029E+00    )
(  3.3000E+01    4.0113E-01    2.8810E-01    6.3280E-01    3.7200E-01    3.6010E-01    3.8640E-01    3.9080E-01    6.5470E-01    4.1780E-01    1.0076E+00    1.1767E+00    8.0350E-01    1.0987E+00    )
(  3.4000E+01    4.0688E-01    2.8330E-01    6.6420E-01    3.7720E-01    3.6390E-01    3.9300E-01    3.9800E-01    6.8150E-01    4.2700E-01    1.0636E+00    1.2547E+00    8.5730E-01    1.1945E+00    )
(  3.5000E+01    4.1263E-01    2.7850E-01    6.9560E-01    3.8240E-01    3.6770E-01    3.9960E-01    4.0520E-01    7.0830E-01    4.3620E-01    1.1196E+00    1.3327E+00    9.1110E-01    1.2903E+00    )
