time,root_dist,x,y,z,rel_vel_mag,Re,alpha_deg,alpha_geom_deg,cl,cd,fx,fy,fz,end_effect_factor
60.55,0.933333333333,0.00296854269162,58.4159317343,-7.57818592438,75.4097788522,9244323.1644,7.03627253709,8.26184288617,1.24581743052,0.00964544718451,19378.9381058,276.786831015,2369.65727889,1
60.6,0.933333333333,0.00296854269162,58.7784454762,-3.86578966026,75.4176659303,9245290.02441,7.04417109683,8.26184288617,1.24641983811,0.00965381630902,19392.0427402,126.478171614,2386.68749779,1
60.65,0.933333333333,0.00296854269162,58.905271139,-0.137892466643,75.4251724912,9246210.23761,7.04565927451,8.26184288617,1.24653516878,0.00965533690775,19397.6371066,-24.8441117299,2391.09839271,1
60.7,0.933333333333,0.00296854269162,58.795900181,3.59055764412,75.4327254659,9247136.14059,7.05047589219,8.26184288617,1.2469034079,0.00966041451313,19407.0569524,-176.335351799,2387.50691889,1
60.75,0.933333333333,0.00296854269162,58.4507711546,7.30461044262,75.4401921478,9248051.46513,7.05242563884,8.26184288617,1.24705382853,0.00966242859545,19413.161011,-327.282775012,2372.95675935,1
60.8,0.933333333333,0.00296854269162,57.8712679481,10.9893734294,75.4475132954,9248948.94891,7.05452147358,8.26184288617,1.24721531816,0.00966460008634,19419.3577675,-477.106864468,2348.92690529,1
60.85,0.933333333333,0.00296854269162,57.0597142363,14.6300715503,75.4546877079,9249828.44477,7.05718094161,8.26184288617,1.24741960544,0.00966737524323,19426.1236811,-625.26835062,2315.69268149,1
60.9,0.933333333333,0.00296854269162,56.0193641633,18.2121064413,75.4616902406,9250686.87025,7.05867649465,8.26184288617,1.24753541108,0.00966890798081,19431.4719566,-770.952076231,2272.579474,1
60.95,0.933333333333,0.00296854269162,54.7543892943,21.7211149645,75.4688827772,9251568.58789,7.05997793005,8.26184288617,1.24763653351,0.00967023141664,19436.6982526,-913.653601881,2220.23220327,1
61,0.933333333333,0.00296854269162,53.2698618882,25.1430268008,75.4756534724,9252398.5929,7.05955672986,8.26184288617,1.24760661947,0.00966971778926,19439.7369115,-1052.44551853,2158.16569958,1
61.05,0.933333333333,0.00296854269162,51.5717345592,28.464120869,75.4826575678,9253257.20995,7.06328108578,8.26184288617,1.24789183604,0.00967363221669,19447.6373275,-1188.03224295,2089.16861432,1
61.1,0.933333333333,0.00296854269162,49.6668164084,31.6710803438,75.4892787002,9254068.88038,7.06199078636,8.26184288617,1.24779582918,0.00967219118107,19449.6055006,-1317.77144627,2009.62901577,1
61.15,0.933333333333,0.00296854269162,47.5627457203,34.7510460538,75.4961368524,9254909.60656,7.06584328213,8.26184288617,1.24809077074,0.00967624370567,19457.5796802,-1443.69344068,1924.02456485,1
61.2,0.933333333333,0.00296854269162,45.2679593357,37.6916680431,75.5027020948,9255714.42555,7.06404890248,8.26184288617,1.24795643167,0.00967426453254,19458.9426669,-1562.28945759,1828.46331054,1
61.25,0.933333333333,0.00296854269162,42.7916588214,40.4811550923,75.5092378462,9256515.62931,7.06170840578,8.26184288617,1.24778056119,0.00967170213475,19459.6646951,-1674.3955986,1725.41715388,1
61.3,0.933333333333,0.00296854269162,40.1437735742,43.1083219984,75.5158260958,9257323.2687,7.06359409413,8.26184288617,1.24792594618,0.00967365530003,19465.2508536,-1781.22532926,1616.8755827,1
61.35,0.933333333333,0.00296854269162,37.3349210064,45.5626344249,75.5224014807,9258129.33105,7.06434374317,8.26184288617,1.24798497916,0.00967439459889,19469.5308518,-1880.60004531,1501.3867202,1
61.4,0.933333333333,0.00296854269162,34.3763639722,47.8342511423,75.5287352555,9258905.77493,7.06336681373,8.26184288617,1.24791268528,0.00967329124079,19471.7085578,-1971.80527399,1379.3175018,1
61.45,0.933333333333,0.00296854269162,31.2799656065,49.9140634886,75.5347501367,9259643.12633,7.06162374858,8.26184288617,1.24778204221,0.00967137229068,19472.8425702,-2054.76854738,1251.52216609,1
61.5,0.933333333333,0.00296854269162,28.0581417563,51.7937318937,75.5412551444,9260440.56127,7.06219491573,8.26184288617,1.24782748451,0.00967192154035,19476.8824036,-2130.47278568,1119.28674314,1
61.55,0.933333333333,0.00296854269162,24.7238111959,53.4657193185,75.5471867788,9261167.70762,7.05827473764,8.26184288617,1.24753127784,0.00966767727791,19475.4777642,-2195.67654307,981.592995559,1
61.6,0.933333333333,0.00296854269162,21.2903438257,54.9233214771,75.553507044,9261942.49539,7.05995131399,8.26184288617,1.24766070309,0.00966940938047,19480.6884421,-2254.53495489,841.081155491,1
61.65,0.933333333333,0.00296854269162,17.7715070621,56.1606937193,75.5593495988,9262658.72165,7.05661615976,8.26184288617,1.24740892308,0.00966579119941,19479.9062321,-2302.07839041,696.349842986,1
61.7,0.933333333333,0.00296854269162,14.181410633,57.1728744664,75.5654821323,9263410.4958,7.05623423675,8.26184288617,1.24738177119,0.00966532570012,19482.6598456,-2341.74220986,549.301225746,1
61.75,0.933333333333,0.00296854269162,10.5344500013,57.9558051058,75.5715764249,9264157.58206,7.05880690847,8.26184288617,1.24757927451,0.00966801725069,19488.7820826,-2373.41647287,400.258468035,1
61.8,0.933333333333,0.00296854269162,6.84524864242,58.5063462653,75.5774948753,9264883.11222,7.05697747812,8.26184288617,1.24744198728,0.00966600724627,19489.7647425,-2393.4979352,249.188931702,1
61.85,0.933333333333,0.00296854269162,3.12859940717,58.8222904012,75.5833712342,9265603.48245,7.05308698395,8.26184288617,1.24714794148,0.00966179574436,19488.3602055,-2402.98547744,97.1429436315,1
61.9,0.933333333333,0.00296854269162,-0.600594793814,58.90237065,75.5892551598,9266324.78028,7.0501680932,8.26184288617,1.24692776616,0.00965862231651,19488.0729663,-2403.29610889,-55.1154316062,1
61.95,0.933333333333,0.00296854269162,-4.32738074749,58.7462659082,75.595125209,9267044.37703,7.04806412255,8.26184288617,1.24676954667,0.00965631972212,19488.7127565,-2394.36119928,-207.057412561,1
62,0.933333333333,0.00296854269162,-8.03681489733,58.3546021201,75.6009632503,9267760.05001,7.04637543867,8.26184288617,1.24664289037,0.00965446115557,19489.8119359,-2376.02700012,-358.119026058,1
62.05,0.933333333333,0.00296854269162,-11.7140232636,57.7289497676,75.6067416869,9268468.41617,7.04425178797,8.26184288617,1.24648312482,0.00965213853567,19490.3801034,-2347.9660549,-507.645400461,1
62.1,0.933333333333,0.00296854269162,-15.3442610844,56.8718175731,75.6124163435,9269164.06015,7.04061677275,8.26184288617,1.24620836329,0.00964820241181,19489.157682,-2309.80429568,-654.856600109,1
62.15,0.933333333333,0.00296854269162,-18.9129719392,55.7866424399,75.6180796246,9269858.30965,7.03998687695,8.26184288617,1.24616215469,0.00964747674972,19491.3801172,-2263.78534175,-799.754229434,1
62.2,0.933333333333,0.00296854269162,-22.4058461163,54.4777756714,75.6239389734,9270576.59466,7.03839595633,8.26184288617,1.24604290162,0.00964572268227,19492.6002853,-2208.27437279,-941.276574204,1
62.25,0.933333333333,0.00296854269162,-25.8088779918,52.9504655229,75.6296332432,9271274.64298,7.03312745869,8.26184288617,1.24564384735,0.00964004175387,19489.5076201,-2142.34435952,-1078.18196169,1
62.3,0.933333333333,0.00296854269162,-29.1084221886,51.2108361578,75.6356376557,9272010.71104,7.03463917705,8.26184288617,1.24576062823,0.00964160075632,19494.3678745,-2070.76756451,-1212.17251504,1
62.35,0.933333333333,0.00296854269162,-32.2912482917,49.2658630905,75.6415646217,9272737.2851,7.03122927349,8.26184288617,1.24550299293,0.00963790323794,19493.5302696,-1988.85669061,-1340.10217469,1
62.4,0.933333333333,0.00296854269162,-35.3445938987,47.1233452168,75.6475007236,9273464.97912,7.02883793027,8.26184288617,1.24532282923,0.00963529374751,19493.8673631,-1899.44671523,-1462.82502618,1
62.45,0.933333333333,0.00296854269162,-38.2562157944,44.7918735418,75.6535316857,9274204.30183,7.02723543205,8.26184288617,1.24520269434,0.00963352606501,19495.1602611,-1802.76821575,-1579.85874766,1
62.5,0.933333333333,0.00296854269162,-41.014439043,42.2807967318,75.6595720209,9274944.77358,7.02234070959,8.26184288617,1.24483207746,0.00962824184326,19492.6698302,-1697.77532,-1689.4084488,1
