"Velocity Deficit","pMean","nutMean","nut","k","kMean","p","epsilon","force.turbine1:0","force.turbine1:1","force.turbine1:2","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-3.30570e-02,-1.01365e+01,9.86622e+00,7.74870e+00,7.30955e-01,8.16022e-01,-6.27748e+00,6.24462e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17284e+01,-3.38685e-02,-2.73485e-01,1.17743e+01,-6.49975e-02,-2.34822e-01,1.52925e-02,1.17235e-03,5.92280e-03,5.16444e-05,3.92918e-04,5.54745e-03,1,3.91000e+00,1.89000e+01,0.00000e+00,-8.10900e+01
-3.23226e-02,-1.01726e+01,1.02086e+01,8.04484e+00,7.44178e-01,8.28884e-01,-6.29995e+00,6.21914e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17215e+01,-3.55499e-02,-2.76324e-01,1.17658e+01,-6.70065e-02,-2.36960e-01,1.50473e-02,1.19139e-03,6.10981e-03,8.71819e-05,4.04277e-04,5.61835e-03,1,4.08000e+00,1.89000e+01,0.00000e+00,-8.09200e+01
-3.14342e-02,-1.02107e+01,1.05601e+01,8.35240e+00,7.57878e-01,8.41936e-01,-6.32306e+00,6.22001e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17124e+01,-3.74112e-02,-2.78566e-01,1.17557e+01,-6.91713e-02,-2.38575e-01,1.49245e-02,1.21131e-03,6.30331e-03,1.22693e-04,4.20842e-04,5.70356e-03,1,4.25000e+00,1.89000e+01,0.00000e+00,-8.07500e+01
-3.05459e-02,-1.02488e+01,1.09115e+01,8.65995e+00,7.71578e-01,8.54989e-01,-6.34618e+00,6.22088e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17033e+01,-3.92724e-02,-2.80807e-01,1.17455e+01,-7.13361e-02,-2.40190e-01,1.48017e-02,1.23123e-03,6.49681e-03,1.58204e-04,4.37407e-04,5.78878e-03,1,4.42000e+00,1.89000e+01,0.00000e+00,-8.05800e+01
-2.96575e-02,-1.02869e+01,1.12630e+01,8.96751e+00,7.85278e-01,8.68042e-01,-6.36930e+00,6.22175e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.16942e+01,-4.11337e-02,-2.83049e-01,1.17353e+01,-7.35009e-02,-2.41805e-01,1.46790e-02,1.25116e-03,6.69031e-03,1.93715e-04,4.53973e-04,5.87399e-03,1,4.59000e+00,1.89000e+01,0.00000e+00,-8.04100e+01
-2.87692e-02,-1.03250e+01,1.16144e+01,9.27508e+00,7.98979e-01,8.81095e-01,-6.39241e+00,6.22262e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.16851e+01,-4.29951e-02,-2.85291e-01,1.17251e+01,-7.56658e-02,-2.43420e-01,1.45562e-02,1.27108e-03,6.88382e-03,2.29227e-04,4.70539e-04,5.95920e-03,1,4.76000e+00,1.89000e+01,0.00000e+00,-8.02400e+01
-2.78808e-02,-1.03631e+01,1.19659e+01,9.58264e+00,8.12679e-01,8.94148e-01,-6.41553e+00,6.22349e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.16760e+01,-4.48563e-02,-2.87532e-01,1.17149e+01,-7.78306e-02,-2.45035e-01,1.44334e-02,1.29100e-03,7.07732e-03,2.64738e-04,4.87104e-04,6.04442e-03,1,4.93000e+00,1.89000e+01,0.00000e+00,-8.00700e+01
-2.69580e-02,-1.04017e+01,1.23181e+01,9.89138e+00,8.26494e-01,9.07248e-01,-6.43879e+00,6.22934e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.16664e+01,-4.67595e-02,-2.89635e-01,1.17044e+01,-8.00321e-02,-2.46528e-01,1.43347e-02,1.31127e-03,7.27213e-03,3.00018e-04,5.05099e-04,6.13432e-03,1,5.10000e+00,1.89000e+01,0.00000e+00,-7.99000e+01
-2.59228e-02,-1.04421e+01,1.26726e+01,1.02040e+01,8.40687e-01,9.20499e-01,-6.46253e+00,6.25142e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.16552e+01,-4.87995e-02,-2.91289e-01,1.16925e+01,-8.23530e-02,-2.47626e-01,1.43147e-02,1.33264e-03,7.47123e-03,3.34548e-04,5.27755e-04,6.23952e-03,1,5.27000e+00,1.89000e+01,0.00000e+00,-7.97300e+01
-2.48876e-02,-1.04825e+01,1.30271e+01,1.05166e+01,8.54881e-01,9.33751e-01,-6.48627e+00,6.27350e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.16439e+01,-5.08395e-02,-2.92942e-01,1.16807e+01,-8.46740e-02,-2.48724e-01,1.42946e-02,1.35401e-03,7.67033e-03,3.69080e-04,5.50412e-04,6.34472e-03,1,5.44000e+00,1.89000e+01,0.00000e+00,-7.95600e+01
