"Velocity Deficit","pMean","nutMean","nut","k","kMean","p","epsilon","force.turbine1:0","force.turbine1:1","force.turbine1:2","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.35087e-01,-4.27921e+00,5.78685e+01,5.71027e+01,3.01346e+00,2.19529e+00,-2.38080e+00,1.43130e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.07754e+00,-3.52178e-03,-8.94541e-03,9.85991e+00,-1.53241e-03,-4.23671e-02,6.86583e-01,1.43444e-05,1.20369e-03,1.18598e-03,-4.98361e-05,-8.33868e-03,1,8.33000e+01,3.15000e+02,0.00000e+00,-1.70000e+00
1.35024e-01,-4.27921e+00,5.79031e+01,5.71467e+01,3.01351e+00,2.19522e+00,-2.38073e+00,1.43025e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.07859e+00,-3.13494e-03,-9.24778e-03,9.86063e+00,-1.26221e-03,-4.27035e-02,6.85922e-01,1.42658e-05,1.21063e-03,1.06386e-03,-4.91509e-05,-8.27905e-03,1,8.34700e+01,3.15000e+02,0.00000e+00,-1.53000e+00
1.34960e-01,-4.27921e+00,5.79377e+01,5.71906e+01,3.01355e+00,2.19514e+00,-2.38066e+00,1.42920e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.07964e+00,-2.74810e-03,-9.55015e-03,9.86136e+00,-9.92024e-04,-4.30400e-02,6.85261e-01,1.41873e-05,1.21756e-03,9.41729e-04,-4.84657e-05,-8.21942e-03,1,8.36400e+01,3.15000e+02,0.00000e+00,-1.36000e+00
1.34897e-01,-4.27921e+00,5.79723e+01,5.72346e+01,3.01359e+00,2.19507e+00,-2.38060e+00,1.42815e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.08070e+00,-2.36126e-03,-9.85252e-03,9.86208e+00,-7.21833e-04,-4.33764e-02,6.84600e-01,1.41088e-05,1.22450e-03,8.19603e-04,-4.77805e-05,-8.15980e-03,1,8.38100e+01,3.15000e+02,0.00000e+00,-1.19000e+00
1.34834e-01,-4.27921e+00,5.80069e+01,5.72786e+01,3.01364e+00,2.19499e+00,-2.38053e+00,1.42710e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.08175e+00,-1.97442e-03,-1.01549e-02,9.86280e+00,-4.51642e-04,-4.37128e-02,6.83939e-01,1.40303e-05,1.23143e-03,6.97476e-04,-4.70954e-05,-8.10017e-03,1,8.39800e+01,3.15000e+02,0.00000e+00,-1.02000e+00
1.34770e-01,-4.27921e+00,5.80415e+01,5.73226e+01,3.01368e+00,2.19492e+00,-2.38046e+00,1.42605e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.08280e+00,-1.58759e-03,-1.04573e-02,9.86352e+00,-1.81451e-04,-4.40492e-02,6.83278e-01,1.39517e-05,1.23837e-03,5.75350e-04,-4.64102e-05,-8.04054e-03,1,8.41500e+01,3.15000e+02,0.00000e+00,-8.50000e-01
1.34707e-01,-4.27921e+00,5.80761e+01,5.73666e+01,3.01372e+00,2.19484e+00,-2.38039e+00,1.42500e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.08386e+00,-1.20075e-03,-1.07596e-02,9.86424e+00,8.87394e-05,-4.43856e-02,6.82617e-01,1.38732e-05,1.24530e-03,4.53224e-04,-4.57250e-05,-7.98092e-03,1,8.43200e+01,3.15000e+02,0.00000e+00,-6.80000e-01
1.34644e-01,-4.27921e+00,5.81108e+01,5.74105e+01,3.01376e+00,2.19477e+00,-2.38033e+00,1.42394e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.08491e+00,-8.13908e-04,-1.10620e-02,9.86496e+00,3.58930e-04,-4.47221e-02,6.81956e-01,1.37947e-05,1.25223e-03,3.31098e-04,-4.50398e-05,-7.92129e-03,1,8.44900e+01,3.15000e+02,0.00000e+00,-5.10000e-01
1.34580e-01,-4.27921e+00,5.81454e+01,5.74545e+01,3.01381e+00,2.19469e+00,-2.38026e+00,1.42289e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.08596e+00,-4.27069e-04,-1.13644e-02,9.86568e+00,6.29121e-04,-4.50585e-02,6.81295e-01,1.37161e-05,1.25917e-03,2.08971e-04,-4.43546e-05,-7.86166e-03,1,8.46600e+01,3.15000e+02,0.00000e+00,-3.40000e-01
1.34517e-01,-4.27921e+00,5.81800e+01,5.74985e+01,3.01385e+00,2.19461e+00,-2.38019e+00,1.42184e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.08702e+00,-4.02302e-05,-1.16667e-02,9.86640e+00,8.99312e-04,-4.53949e-02,6.80634e-01,1.36376e-05,1.26610e-03,8.68451e-05,-4.36694e-05,-7.80204e-03,1,8.48300e+01,3.15000e+02,0.00000e+00,-1.70000e-01
1.34453e-01,-4.27921e+00,5.82146e+01,5.75425e+01,3.01389e+00,2.19454e+00,-2.38013e+00,1.42079e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.08807e+00,3.46608e-04,-1.19691e-02,9.86712e+00,1.16950e-03,-4.57313e-02,6.79973e-01,1.35591e-05,1.27304e-03,-3.52811e-05,-4.29843e-05,-7.74241e-03,1,8.50000e+01,3.15000e+02,0.00000e+00,0.00000e+00
1.34390e-01,-4.27921e+00,5.82492e+01,5.75865e+01,3.01393e+00,2.19446e+00,-2.38006e+00,1.41974e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.08912e+00,7.33447e-04,-1.22715e-02,9.86784e+00,1.43969e-03,-4.60677e-02,6.79312e-01,1.34806e-05,1.27997e-03,-1.57407e-04,-4.22991e-05,-7.68278e-03,1,8.51700e+01,3.15000e+02,0.00000e+00,1.70000e-01
1.34327e-01,-4.27921e+00,5.82838e+01,5.76305e+01,3.01398e+00,2.19439e+00,-2.37999e+00,1.41869e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.09018e+00,1.12029e-03,-1.25739e-02,9.86857e+00,1.70988e-03,-4.64042e-02,6.78651e-01,1.34020e-05,1.28691e-03,-2.79534e-04,-4.16139e-05,-7.62315e-03,1,8.53400e+01,3.15000e+02,0.00000e+00,3.40000e-01
1.34263e-01,-4.27921e+00,5.83185e+01,5.76744e+01,3.01402e+00,2.19431e+00,-2.37992e+00,1.41764e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.09123e+00,1.50712e-03,-1.28762e-02,9.86929e+00,1.98008e-03,-4.67406e-02,6.77990e-01,1.33235e-05,1.29384e-03,-4.01660e-04,-4.09287e-05,-7.56353e-03,1,8.55100e+01,3.15000e+02,0.00000e+00,5.10000e-01
1.34198e-01,-4.27921e+00,5.83519e+01,5.77172e+01,3.01404e+00,2.19422e+00,-2.37986e+00,1.41660e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.09232e+00,1.89162e-03,-1.31783e-02,9.87003e+00,2.24850e-03,-4.70768e-02,6.77309e-01,1.34805e-05,1.30104e-03,-5.22372e-04,-4.03694e-05,-7.50414e-03,1,8.56800e+01,3.15000e+02,0.00000e+00,6.80000e-01
1.34129e-01,-4.27921e+00,5.83835e+01,5.77582e+01,3.01401e+00,2.19409e+00,-2.37979e+00,1.41558e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.09347e+00,2.27243e-03,-1.34798e-02,9.87082e+00,2.51417e-03,-4.74126e-02,6.76598e-01,1.40070e-05,1.30864e-03,-6.40867e-04,-4.00073e-05,-7.44512e-03,1,8.58500e+01,3.15000e+02,0.00000e+00,8.50000e-01
1.34060e-01,-4.27920e+00,5.84150e+01,5.77992e+01,3.01399e+00,2.19396e+00,-2.37972e+00,1.41456e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.09463e+00,2.65324e-03,-1.37812e-02,9.87160e+00,2.77983e-03,-4.77485e-02,6.75886e-01,1.45335e-05,1.31625e-03,-7.59362e-04,-3.96453e-05,-7.38611e-03,1,8.60200e+01,3.15000e+02,0.00000e+00,1.02000e+00
1.33991e-01,-4.27920e+00,5.84466e+01,5.78401e+01,3.01396e+00,2.19383e+00,-2.37965e+00,1.41354e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.09578e+00,3.03405e-03,-1.40827e-02,9.87239e+00,3.04549e-03,-4.80844e-02,6.75175e-01,1.50600e-05,1.32385e-03,-8.77857e-04,-3.92833e-05,-7.32709e-03,1,8.61900e+01,3.15000e+02,0.00000e+00,1.19000e+00
1.33922e-01,-4.27919e+00,5.84782e+01,5.78811e+01,3.01394e+00,2.19371e+00,-2.37958e+00,1.41252e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.09693e+00,3.41486e-03,-1.43842e-02,9.87317e+00,3.31115e-03,-4.84202e-02,6.74463e-01,1.55865e-05,1.33145e-03,-9.96351e-04,-3.89213e-05,-7.26808e-03,1,8.63600e+01,3.15000e+02,0.00000e+00,1.36000e+00
1.33853e-01,-4.27919e+00,5.85097e+01,5.79221e+01,3.01391e+00,2.19358e+00,-2.37951e+00,1.41150e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.09808e+00,3.79567e-03,-1.46857e-02,9.87396e+00,3.57682e-03,-4.87561e-02,6.73751e-01,1.61130e-05,1.33906e-03,-1.11485e-03,-3.85593e-05,-7.20906e-03,1,8.65300e+01,3.15000e+02,0.00000e+00,1.53000e+00
