time,x,y,z,rel_vel_mag,alpha_deg,alpha_geom_deg,cl,cd,cm
49.85,0.0246538433123,-32.1563579223,2.57560153816,38.3127596365,12.6187368713,16.9415917578,1.07786286279,0.0819495709001,1.54566516283e-301
49.9,0.0246538433123,-32.2549005169,0.535229628787,38.3217833751,12.6077512046,16.9415917578,1.07680313764,0.0819322230886,1.54566516283e-301
49.95,0.0246538433123,-32.2241083616,-1.50728842859,38.3298620662,12.5997403041,16.9415917578,1.07596783498,0.0819201471596,1.54566516283e-301
50,0.0246538433123,-32.064104926,-3.54376260522,38.336589202,12.5881880343,16.9415917578,1.07475895643,0.0819033502384,1.54566516283e-301
50.05,0.0246538433123,-31.7755317871,-5.56602710697,38.3420657047,12.5767525916,16.9415917578,1.07346445868,0.081887769012,1.54566516283e-301
50.1,0.0246538433123,-31.359546057,-7.5659731172,38.346047522,12.5653742743,16.9415917578,1.07215423808,0.0818717446872,1.54566516283e-301
50.15,0.0246538433123,-30.8178157429,-9.53558131132,38.3484721898,12.5535400047,16.9415917578,1.07072726322,0.0818578884032,1.54566516283e-301
50.2,0.0246538433123,-30.1525130592,-11.4669540124,38.3493027323,12.5435730577,16.9415917578,1.06939402539,0.0818445153495,1.54566516283e-301
50.25,0.0246538433123,-29.366305717,-13.3523468592,38.3482477755,12.5346374226,16.9415917578,1.06812959682,0.0818321886248,1.54566516283e-301
50.3,0.0246538433123,-28.4623462272,-15.1841998588,38.3452342862,12.5268740409,16.9415917578,1.06683758106,0.0818289879748,1.54566516283e-301
50.35,0.0246538433123,-27.4442592601,-16.9551677012,38.340651192,12.5207414423,16.9415917578,1.06576457081,0.081819671189,1.54566516283e-301
50.4,0.0246538433123,-26.3161271107,-18.6581492117,38.3347642989,12.5178354239,16.9415917578,1.06487775245,0.0818193455833,1.54566516283e-301
50.45,0.0246538433123,-25.0824733301,-20.2863158251,38.3275067622,12.5178893352,16.9415917578,1.06417435985,0.0818284547847,1.54566516283e-301
50.5,0.0246538433123,-23.7482445868,-21.833138967,38.3183768896,12.5193860947,16.9415917578,1.06361499665,0.0818369418367,1.54566516283e-301
50.55,0.0246538433123,-22.3187908321,-23.2924162315,38.3077617573,12.5249162126,16.9415917578,1.06336109097,0.0818526411719,1.54566516283e-301
50.6,0.0246538433123,-20.7998438474,-24.6582962516,38.2958682994,12.5323929595,16.9415917578,1.06325424858,0.0818672424401,1.54566516283e-301
50.65,0.0246538433123,-19.1974942617,-25.9253021618,38.2828248284,12.5433332274,16.9415917578,1.06344836067,0.081886352376,1.54566516283e-301
50.7,0.0246538433123,-17.518167129,-27.0883535592,38.2685546579,12.557228148,16.9415917578,1.06383934382,0.0819099303803,1.54566516283e-301
50.75,0.0246538433123,-15.7685961659,-28.1427868746,38.2534945022,12.5742095496,16.9415917578,1.06453882208,0.0819459246567,1.54566516283e-301
50.8,0.0246538433123,-13.9557967504,-29.0843740722,38.2372028506,12.5929272885,16.9415917578,1.06542152273,0.0819826632357,1.54566516283e-301
50.85,0.0246538433123,-12.0870377923,-29.9093396035,38.2205080476,12.6143065641,16.9415917578,1.0664349275,0.0820253509586,1.54566516283e-301
50.9,0.0246538433123,-10.1698125861,-30.614375546,38.203457387,12.6379006535,16.9415917578,1.06762625107,0.082064192408,1.54566516283e-301
50.95,0.0246538433123,-8.21180876498,-31.1966548674,38.1856543193,12.6627690908,16.9415917578,1.06893828671,0.0821040549529,1.54566516283e-301
51,0.0246538433123,-6.22087747503,-31.6538427612,38.1676011191,12.6878225059,16.9415917578,1.07022278502,0.08214953365,1.54566516283e-301
51.05,0.0246538433123,-4.20500189385,-31.9841060088,38.1495097576,12.7133192367,16.9415917578,1.07151469225,0.0822045088017,1.54566516283e-301
51.1,0.0246538433123,-2.17226521995,-32.1861203304,38.1319317736,12.7398521503,16.9415917578,1.0730865202,0.08225147812,1.54566516283e-301
51.15,0.0246538433123,-0.13081826098,-32.259075695,38.1136094728,12.7611229066,16.9415917578,1.07417163672,0.0822845319173,1.54566516283e-301
51.2,0.0246538433123,1.9111532492,-32.2026795681,38.0971909769,12.7877762273,16.9415917578,1.07562170134,0.0823359128462,1.54566516283e-301
51.25,0.0246538433123,3.94546147339,-32.0171580855,38.0813421672,12.8125811324,16.9415917578,1.07685722395,0.082387093639,1.54566516283e-301
51.3,0.0246538433123,5.9639493024,-31.7032551456,38.0663189093,12.8348353809,16.9415917578,1.07792854036,0.0824296444294,1.54566516283e-301
51.35,0.0246538433123,7.9585230632,-31.2622294273,38.0524074898,12.8556234554,16.9415917578,1.07892033145,0.082467943602,1.54566516283e-301
51.4,0.0246538433123,9.92118497268,-30.6958493423,38.0398451415,12.8754485515,16.9415917578,1.07986704395,0.0825079386349,1.54566516283e-301
51.45,0.0246538433123,11.8440652069,-30.0063859451,38.0283707269,12.8931344008,16.9415917578,1.08056597154,0.0825474114939,1.54566516283e-301
51.5,0.0246538433123,13.7194534575,-29.1966038254,38.0181503106,12.9094885779,16.9415917578,1.0812171226,0.0825837912771,1.54566516283e-301
51.55,0.0246538433123,15.5398298477,-28.2697500239,38.0094030917,12.9251820325,16.9415917578,1.08183644318,0.0826189750293,1.54566516283e-301
51.6,0.0246538433123,17.297895086,-27.2295410116,38.0017083674,12.9392796643,16.9415917578,1.08238672973,0.0826468990112,1.54566516283e-301
51.65,0.0246538433123,18.9865997343,-26.0801477879,37.9951532943,12.951542957,16.9415917578,1.08279726989,0.0826735308452,1.54566516283e-301
51.7,0.0246538433123,20.5991724742,-24.826179156,37.9895884817,12.9624838906,16.9415917578,1.08311812278,0.0826986802661,1.54566516283e-301
51.75,0.0246538433123,22.1291472593,-23.4726632423,37.9849688049,12.9730375974,16.9415917578,1.08346307364,0.0827193833998,1.54566516283e-301
51.8,0.0246538433123,23.5703892416,-22.0250273351,37.9811752008,12.9821284857,16.9415917578,1.08377780671,0.0827336608742,1.54566516283e-301
51.85,0.0246538433123,24.9171193715,-20.4890761221,37.977908875,12.9870124781,16.9415917578,1.08383304537,0.0827409518202,1.54566516283e-301
51.9,0.0246538433123,26.1639375702,-18.8709684153,37.9750494098,12.9941275271,16.9415917578,1.08401974742,0.0827607938025,1.54566516283e-301
51.95,0.0246538433123,27.3058443829,-17.1771924553,37.9729085115,13.003387654,16.9415917578,1.08452213995,0.0827806805726,1.54566516283e-301
52,0.0246538433123,28.3382610252,-15.414539895,37.9711655558,13.0062580918,16.9415917578,1.08454815355,0.0827856481491,1.54566516283e-301
52.05,0.0246538433123,29.2570477434,-13.5900785668,37.9699554895,13.0088021554,16.9415917578,1.08459949716,0.0827896685852,1.54566516283e-301
52.1,0.0246538433123,30.0585204134,-11.711124142,37.9691568964,13.0114253817,16.9415917578,1.08480286802,0.0827908906941,1.54566516283e-301
52.15,0.0246538433123,30.7394653138,-9.78521079652,37.9687531466,13.013043012,16.9415917578,1.08499920238,0.0827848209352,1.54566516283e-301
52.2,0.0246538433123,31.2971520118,-7.82006100111,37.9688079045,13.0146785521,16.9415917578,1.08521919389,0.0827794676045,1.54566516283e-301
52.25,0.0246538433123,31.7293443117,-5.82355455548,37.9693961522,13.0160495465,16.9415917578,1.08542458798,0.082778148517,1.54566516283e-301
52.3,0.0246538433123,32.0343092215,-3.80369699236,37.9705252144,13.0174737854,16.9415917578,1.08570272217,0.0827769783622,1.54566516283e-301
52.35,0.0246538433123,32.210823902,-1.7685874771,37.9720546237,13.0159993498,16.9415917578,1.08581994793,0.0827688623275,1.54566516283e-301
52.4,0.0246538433123,32.2581805698,0.273613668117,37.9742064082,13.0159095989,16.9415917578,1.08609824143,0.0827641103711,1.54566516283e-301
52.45,0.0246538433123,32.1761893354,2.31471768531,37.9769605919,13.0140369911,16.9415917578,1.08627191794,0.0827547135784,1.54566516283e-301
52.5,0.0246538433123,31.965178965,4.34654021573,37.9802369625,13.0113757768,16.9415917578,1.08639543439,0.0827459631192,1.54566516283e-301
52.55,0.0246538433123,31.6259955617,6.36093411723,37.9842121751,13.0089301003,16.9415917578,1.08661021269,0.0827356701976,1.54566516283e-301
52.6,0.0246538433123,31.1599991731,8.34982213252,37.9887668026,13.0047860765,16.9415917578,1.08670068841,0.0827229801407,1.54566516283e-301
52.65,0.0246538433123,30.5690583378,10.305229277,37.993797477,12.9992841874,16.9415917578,1.08674122443,0.0827041880003,1.54566516283e-301
52.7,0.0246538433123,29.855542593,12.2193148167,37.9994276501,12.9943862231,16.9415917578,1.08683862039,0.082691571395,1.54566516283e-301
